,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,Unnamed: 0
skip-1_non-skip-3_dropout:False_reduction:False_R2_MSELoss_DEMORUN,-0.0005336298662073,0.0189808782409219,0.0844985807643217,0.1184002079215704,0.0949100267653371,-0.1116329466595369,0.0209762500781638,0.2178248891643449,0.2306032005478354,0.2385069108476825,-0.2641629307877783,0.3484371152578616,0.3312877732164719,0.3964605237923416,0.4125749293495627,0.3786049718950309,-0.4042885233374202,0.1953816986551471,0.465594396871679,0.4565847130382762,0.0620594959633023,0.5098817523788003,0.4233960205433415,0.4862925901132471,0.4796831432510824,0.4792727594282113,0.544882154932209,0.3725569926056207,0.4716191490491231,0.5621021039345685,0.3701692457292594,0.2157980075069502,0.2201754953347,0.4867654384351244,0.5370135120317048,0.5677958925565084,0.1920584627226287,0.4645910613677081,0.3565210045552721,0.4799992909618452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-3_non-skip-4_dropout:False_reduction:False_R2_MSELoss_DEMORUN,0.1867255755499297,0.1564008687056747,0.0577385963178148,0.3204714492255566,0.3496949263647491,0.1545495507763881,0.2102530212963328,0.3720247184529024,0.3597789874263838,0.2740310453901104,0.3970206169521107,0.4466029277034834,0.3488808297643475,-0.0012670182714275,0.4992176119019003,0.4747656934401568,0.4296840639675365,0.4555943432976218,0.4233213008618822,0.4927048729915245,0.4744775073201048,0.4902229893441294,0.1050617274116067,0.4310807655839359,0.1959982502694223,0.4779555540458828,0.4030672428654689,0.1913371658792682,0.4653493797077852,0.5134832040936339,0.4619819369970583,0.3435955620279499,0.2725616541563296,0.4325816187204099,0.4954379060689141,0.1116981681655435,0.4559459639530556,0.3021890111998015,0.4711808901207119,0.2001844808167102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-1_non-skip-1_dropout:False_reduction:True_R2_MSELoss_DEMORUN,-3430.151507088951,-3163.596333608908,-3247.510480416756,-2306.915061960033,-2580.6976220794754,-2559.258332071351,-973.156949134434,-2379.7814659908704,-2460.605709482642,-1344.3437014514325,-1757.0551569777376,-823.7898048700071,-815.0510809865652,-784.9189932720334,-766.877856133031,-629.7589833794856,-471.6041037779228,-773.51586375517,-729.1199261078648,-445.0767567064248,-349.7162398286894,-331.4095137166042,-231.3087774094413,-129.63974955268935,-169.06498043443642,-164.2123999198278,-139.5365536131111,-100.37924586791618,-164.03865335852493,-87.41129646114274,-93.10728172227448,-44.90264283792645,-43.44595608757992,-27.31657681395026,-22.61906610166325,-26.66479908134423,-22.783872821751764,-12.404345766002058,-16.953110845649945,-9.530686592354494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-1_non-skip-2_dropout:False_reduction:True_R2_MSELoss_DEMORUN,-713.6529803416308,-654.2867896895783,-416.2937754579619,-277.99388752848495,-408.1240481979707,-371.02068768646205,-212.1226463937292,-291.41417398756624,-283.8699246422917,-490.4030330461615,-308.49219073267545,-252.3190753366433,-128.291891486037,-223.7817845695159,-180.1509004235268,-173.27124232521246,-161.5724582415001,-195.10869040325576,-102.21610673969867,-101.65692372649325,-144.70826015869775,-155.93315281353745,-48.84824181070515,-60.96923092416689,-41.68195896172056,-61.52369071338691,-31.66557974090763,-25.709170366034787,-23.4884506241948,-25.915604087651943,-29.33678262023365,-21.88883814741584,-14.263042294511608,-21.47959389406092,-18.17912291662366,-15.161785087164713,-11.476691932070487,-8.627966102431802,-4.362198328270631,-6.215376471771913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-1_non-skip-3_dropout:False_reduction:True_R2_MSELoss_DEMORUN,-138.51742607238245,-59.06261424457325,-62.56500006072662,-80.51039492032108,-90.6524461180556,-47.57797585281672,-43.087250048039,-91.469955813651,-68.66392128607806,-43.66279006354949,-54.0040870051758,-69.35649668586021,-49.53577278758965,-46.49722421169281,-47.20799591962029,-32.73040753135494,-29.227214566632814,-14.2311827248218,-40.77428399347792,-28.07188075313381,-29.66185995644214,-11.958216230074564,-6.16921846889982,-17.213398836407006,-15.175037041598676,-29.609516487402075,-17.31602629025777,-16.96988515994128,-13.74808239586213,-13.732991196361242,-5.771895746390025,-5.032362012302174,-7.125976506401511,-5.107561414148293,-10.68550968170166,-2.9949830840615665,-10.178877211084552,-4.975739498933156,-3.94764838849797,-2.3951511266184786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-1_non-skip-4_dropout:False_reduction:True_R2_MSELoss_DEMORUN,-35.44854994498047,-10.17353477898766,-18.110173980395,-31.9633777959674,-15.659879047496648,-11.35057595313764,-4.684390370752297,-30.416066617357966,-8.900664675469493,-49.3407107276075,-21.56033000875922,-12.309396140715656,-14.98484611861846,-15.993268881358352,-37.94796987491495,-4.9757080078125,-10.728132685025534,-7.831664895310121,-2.12661838648366,-23.230157851004133,-14.08511007416482,-7.812145590782165,-9.335073455875994,-7.248425836656608,-22.31552901805616,-7.71940688642801,-5.349864630138173,-9.161223891903372,-5.361922507192574,-64.74723645869423,-7.585923261502209,-10.467244116698994,-5.290619999754663,-3.237670534966038,-8.041628664615107,-4.451552877239153,-6.139144218435474,-3.245247178217944,-7.53805424302232,-12.21933272890016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-2_non-skip-1_dropout:False_reduction:False_R2_MSELoss_DEMORUN,0.1255241398717843,0.1021993195309358,0.1496551971809537,0.0638825285668466,0.1849571372948441,-0.2916689106062347,-0.0605415082445331,0.2032953687742644,0.0896165663120793,0.1157299642469368,0.2374870835566053,0.3142447354746799,-0.0569384296735127,0.2761677036098405,0.3522950060227338,0.3071215807222852,0.1324817853815415,0.4333014908958884,-0.3380899838372773,0.2761592771492752,0.3651368968627032,0.4786126777237537,-0.4784822405553331,0.5061067038891363,0.3051770832024368,0.4763754571185392,0.3632344369794808,0.1887901588982226,0.3048235774040222,0.5676003951652377,-0.6390903218119752,0.2155053977872811,0.5479946300095203,0.4636970746750925,0.5643652993090013,-0.1404009391279781,0.2356722273078619,0.5632873072343714,0.5741803494154238,0.4957860427744248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-2_non-skip-2_dropout:False_reduction:False_R2_MSELoss_DEMORUN,-0.1427786023009057,-0.1785897402202381,-0.2017856661011191,-0.8082572689243391,-0.5968144945069855,-0.0321308549712686,-0.3218212244557399,0.0064500909225613,-0.1679891920557209,-0.2357121273583056,0.0722651224510342,0.1282690903719733,0.1661713170070274,0.087078263946608,0.1340573780676897,0.0948764705190471,-0.0493520919014425,0.1523811723671707,-0.3443339268366496,0.3436722019139458,0.4036205060341779,0.3477100157270245,0.4643028249927595,0.4147937180949192,0.4650792386017593,0.2070395175148459,-0.954369179174012,0.457327804144691,0.3807620020473705,0.1677999999008926,0.2414966658049938,0.5416546604212593,0.2341401144569995,0.3352592973148121,0.0473261008075639,-0.694859945306591,0.5706276017076829,0.4521370179512921,0.5754687961410073,0.4393765552371156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-2_non-skip-3_dropout:False_reduction:False_R2_MSELoss_DEMORUN,-0.8702513073004928,-0.382672088987687,-0.2108706831932068,-0.2486168379877127,-0.2625656174678428,-0.511372491425159,-0.1181456808950386,-0.2259260591338662,-0.11699346000073,-0.1428654591242472,-0.2907375249208188,-0.0827929213935253,0.0126652168292625,-0.0245858933411392,0.081933762512955,-0.2594095445146747,-0.2551602721214294,0.1934499845785253,-0.0269579770518284,0.1875364885610692,0.1362007552502202,0.0441923644028457,0.2606400122829512,-0.0744788506451775,0.2587623105329625,0.1689823071161905,0.4039669118675531,0.3935322422607272,0.2761612347528046,0.4727318029777676,0.4909911319321277,0.5061025233829722,0.2901614974526798,0.4095863664851469,0.48411938606524,0.2761866707427829,0.5308229864812365,0.5083360356443068,0.5367510143448325,0.4721719657673555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-3_non-skip-3_dropout:False_reduction:False_R2_MSELoss_DEMORUN,0.1397447901613572,0.0650026669689253,0.1008218515153024,-0.1459126659468108,0.1847362833864548,0.2273603280385335,-0.0678630973778519,0.1569369236628214,0.067472827200796,0.1636927244709987,0.2310866666775123,0.2623475322536394,0.2267655765309053,0.1890087723731994,0.2338875356842489,0.3321383092917648,0.2724521230248844,0.4055318949269313,0.3984179859067879,0.4699510382670982,0.4519364681898379,0.4348878778663336,0.4431534888697605,0.5028664493093303,0.2788369468614167,0.4233512831669228,0.3541231389139213,0.5607812100765752,0.5126986503601074,-0.165654721213322,0.5683514207017188,0.3687843890751109,0.5381359002169441,0.4637824261889738,0.4367929930780448,0.475629471096338,0.5462269350594166,0.5616312810018951,0.4868781134194019,0.5452296990974277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
